approach,experiment_id,num_steps,overall_mean_latency,peak_latency,num_times_crossed_above_sla,total_seconds_above_sla,total_seconds_in_cloud_cluster,percent_time_below_sla
informer,validation-proactive-8h-concurrency-4-job-0_2025-08-12T083006_2025-08-12T163009_created_at_2025-08-12T163011.json,953,0.06092727157193149,0.510891318321228,4,1020.0,17460.0,96.4546402502607
informer,validation-proactive-8h-concurrency-4-job-0_2025-08-15T003213_2025-08-15T083215_created_at_2025-08-15T083217.json,954,0.060404417170751776,0.7191277146339417,5,630.0,15899.999999999998,97.80793319415449
informer_30m,validation-informer-60-job-0_2025-09-25T090006_2025-09-25T170009_created_at_2025-09-25T170011.json,947,0.06737240192463004,0.6550110340118408,7,570.0000000000002,25110.0,98.01670146137788
informer_30m,validation-informer-60-job-0_2025-09-26T090006_2025-09-26T170008_created_at_2025-09-26T170010.json,957,0.06301545000624376,0.6591190695762634,5,660.0000000000005,23040.0,97.7035490605428
informer_30m,validation-informer-60-job-0_2025-09-27T090006_2025-09-27T170008_created_at_2025-09-27T170010.json,960,0.06465275208983148,0.5202807188034058,9,690.0,23070.0,97.49739311783108
informer_30m,validation-informer-60-job-0_2025-09-28T090006_2025-09-28T170008_created_at_2025-09-28T170010.json,951,0.06508118770768498,0.5448251962661743,10,840.0,23010.0,97.07419017763846
informer_filtered_SLAloss,validation-proactive-8h-concurrency-4-job-0_2025-08-25T090008_2025-08-25T170011_created_at_2025-08-25T170013.json,952,0.07700689875779024,0.776454746723175,12,1380.0,15240.0,95.09394572025052
informer_filtered_SLAloss,validation-proactive-8h-concurrency-4-job-0_2025-08-27T090007_2025-08-27T170009_created_at_2025-08-27T170011.json,956,0.0674588666550783,0.4967395067214966,5,960.0,16140.000000000002,96.45093945720251
linear_regression,validation-proactive-8h-linear-regression-job-0_2025-09-03T121314_2025-09-03T201316_created_at_2025-09-03T201318.json,924,0.16644541684855282,0.670945405960083,23,7620.0,10050.0,72.02505219206681
linear_regression,validation-proactive-8h-linear-regression-job-0_2025-09-04T173007_2025-09-05T013009_created_at_2025-09-05T013011.json,904,0.16570666768645811,0.664925217628479,25,7830.0,10410.0,71.60751565762004
linear_regression,validation-proactive-8h-linear-regression-job-0_2025-09-05T013022_2025-09-05T093024_created_at_2025-09-05T093026.json,909,0.16095825018880996,0.5675979852676392,26,7410.0,9930.0,72.02505219206681
multiple_linear_regression,validation-multiple-linear-regresison-job-0_2025-09-16T153007_2025-09-16T233009_created_at_2025-09-16T233012.json,950,0.07660802381080485,0.5999045372009277,2,1020.0,17370.0,96.4546402502607
multiple_linear_regression,validation-multiple-linear-regresison-job-0_2025-09-16T233023_2025-09-17T073025_created_at_2025-09-17T073027.json,944,0.087977754341512,0.6105530858039856,12,1380.0,17850.0,95.19832985386222
multiple_linear_regression,validation-multiple-linear-regresison-job-0_2025-09-17T073039_2025-09-17T153041_created_at_2025-09-17T153043.json,959,0.08256309431047534,0.5870397090911865,7,990.0,16140.0,96.03753910323253
random_forest,validation-random-forest-job-0_2025-09-17T230007_2025-09-18T070009_created_at_2025-09-18T070011.json,889,0.07928984195139234,0.5065473914146423,4,930.0,22830.0,91.03232533889468
random_forest,validation-random-forest-job-0_2025-09-18T070023_2025-09-18T150025_created_at_2025-09-18T150028.json,945,0.07214748361123295,0.5433022379875183,2,510.0,21360.0,97.91231732776617
random_forest,validation-random-forest-job-0_2025-09-18T150039_2025-09-18T230041_created_at_2025-09-18T230043.json,952,0.0706840334486226,0.578122079372406,2,660.0,19440.0,97.07724425887265
random_forest,validation-random-forest-job-0_2025-09-18T230054_2025-09-19T070056_created_at_2025-09-19T070058.json,946,0.06549458715006691,0.5472566485404968,3,660.0,21180.0,97.7035490605428
random_forest,validation-random-forest-job-0_2025-09-19T070109_2025-09-19T150110_created_at_2025-09-19T150113.json,941,0.06519125209309039,0.6077638864517212,2,510.0,21150.0,98.22732012513035
