reactive_experiment,rf_experiment,overlap_seconds_total,reactive_above_edge_seconds,rf_cloud_seconds,avoided_seconds,not_avoided_seconds_rf_also_above,avoided_fraction_of_reactive_above_edge,num_overlap_rows
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-18T070023_2025-09-18T150025_created_at_2025-09-18T150028.json,28500.0,1080.0000000000005,21120.0,810.0000000000005,90.0,0.7500000000000001,945
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-18T150039_2025-09-18T230041_created_at_2025-09-18T230043.json,28710.0,1080.0000000000005,19560.0,630.0,0.0,0.583333333333333,952
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-18T230054_2025-09-19T070056_created_at_2025-09-19T070058.json,28530.0,1080.0000000000005,21180.0,780.0,0.0,0.7222222222222219,946
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-19T070109_2025-09-19T150110_created_at_2025-09-19T150113.json,28380.0,1080.0000000000005,20910.0,990.0000000000005,0.0,0.9166666666666667,941
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-19T150124_2025-09-19T230127_created_at_2025-09-19T230129.json,28710.0,1080.0000000000005,19830.0,660.0,0.0,0.6111111111111108,952
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-19T230139_2025-09-20T070141_created_at_2025-09-20T070143.json,28290.0,1080.0000000000005,18420.0,690.0000000000005,0.0,0.6388888888888891,938
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-20T070154_2025-09-20T150156_created_at_2025-09-20T150159.json,28350.0,1080.0000000000005,21090.0,1050.0000000000005,30.0,0.9722222222222222,940
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-20T150209_2025-09-20T230211_created_at_2025-09-20T230213.json,28740.0,1080.0000000000005,20400.0,690.0000000000005,90.0,0.6388888888888891,953
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-20T230225_2025-09-21T070227_created_at_2025-09-21T070229.json,28230.0,1080.0000000000005,13230.0,660.0,0.0,0.6111111111111108,936
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-21T070241_2025-09-21T150243_created_at_2025-09-21T150245.json,28650.0,1080.0000000000005,18330.0,660.0,0.0,0.6111111111111108,950
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-21T150255_2025-09-21T230257_created_at_2025-09-21T230259.json,28530.0,1080.0000000000005,19680.0,900.0,0.0,0.833333333333333,946
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-21T230311_2025-09-22T070314_created_at_2025-09-22T070316.json,27810.0,1080.0000000000005,13080.0,690.0000000000005,0.0,0.6388888888888891,922
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-22T070328_2025-09-22T150330_created_at_2025-09-22T150332.json,28020.0,1080.0000000000005,13590.0,660.0,0.0,0.6111111111111108,929
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-22T150343_2025-09-22T230345_created_at_2025-09-22T230347.json,28680.0,1080.0000000000005,19500.0,600.0,0.0,0.5555555555555554,951
validation-reactive-8h-concurrency-4-job-0_2025-07-10T083023_2025-07-10T163025_created_at_2025-07-10T163027.json,validation-random-forest-job-0_2025-09-22T230358_2025-09-23T070400_created_at_2025-09-23T070402.json,28140.0,1080.0000000000005,13170.0,690.0000000000005,0.0,0.6388888888888891,933
validation-reactive-8h-concurrency-4-job-0_2025-07-11T094508_2025-07-11T174510_created_at_2025-07-11T174512.json,validation-random-forest-job-0_2025-09-18T070023_2025-09-18T150025_created_at_2025-09-18T150028.json,28440.0,1020.0,21060.0,810.0,90.0,0.7941176470588235,945
validation-reactive-8h-concurrency-4-job-0_2025-07-11T094508_2025-07-11T174510_created_at_2025-07-11T174512.json,validation-random-forest-job-0_2025-09-18T150039_2025-09-18T230041_created_at_2025-09-18T230043.json,28650.0,1020.0,19530.0,510.0,90.0,0.5,952
validation-reactive-8h-concurrency-4-job-0_2025-07-11T094508_2025-07-11T174510_created_at_2025-07-11T174512.json,validation-random-forest-job-0_2025-09-18T230054_2025-09-19T070056_created_at_2025-09-19T070058.json,28470.0,1020.0,21120.0,600.0,0.0,0.5882352941176471,946
validation-reactive-8h-concurrency-4-job-0_2025-07-11T094508_2025-07-11T174510_created_at_2025-07-11T174512.json,validation-random-forest-job-0_2025-09-19T070109_2025-09-19T150110_created_at_2025-09-19T150113.json,28320.0,1020.0,20850.0,930.0,0.0,0.9117647058823529,941
validation-reactive-8h-concurrency-4-job-0_2025-07-11T094508_2025-07-11T174510_created_at_2025-07-11T174512.json,validation-random-forest-job-0_2025-09-19T150124_2025-09-19T230127_created_at_2025-09-19T230129.json,28650.0,1020.0,19800.0,630.0,0.0,0.6176470588235294,952
validation-reactive-8h-concurrency-4-job-0_2025-07-11T094508_2025-07-11T174510_created_at_2025-07-11T174512.json,validation-random-forest-job-0_2025-09-19T230139_2025-09-20T070141_created_at_2025-09-20T070143.json,28230.0,1020.0,18360.0,630.0,0.0,0.6176470588235294,938
validation-reactive-8h-concurrency-4-job-0_2025-07-11T094508_2025-07-11T174510_created_at_2025-07-11T174512.json,validation-random-forest-job-0_2025-09-20T070154_2025-09-20T150156_created_at_2025-09-20T150159.json,28290.0,1020.0,21030.0,1020.0,0.0,1.0,940
